iter	Passed	Remaining
0	58	58735
1	59	29500
2	59	19726
3	59	14832
4	59	11898
5	60	9945
6	60	8546
7	60	7495
8	60	6680
9	60	6027
10	61	5493
11	61	5048
12	61	4672
13	61	4349
14	61	4068
15	62	3823
16	62	3608
17	62	3417
18	62	3244
19	63	3088
20	63	2949
21	63	2821
22	63	2704
23	63	2597
24	64	2498
25	64	2407
26	64	2323
27	64	2244
28	64	2171
29	65	2103
30	65	2039
31	65	1979
32	65	1924
33	65	1873
34	66	1823
35	66	1776
36	66	1733
37	66	1693
38	67	1653
39	67	1615
40	67	1578
41	67	1544
42	67	1511
43	68	1480
44	68	1452
45	68	1425
46	69	1399
47	69	1374
48	69	1350
49	69	1326
50	70	1303
51	70	1280
52	70	1258
53	70	1237
54	70	1217
55	71	1198
56	71	1179
57	71	1161
58	71	1143
59	71	1126
60	72	1109
61	72	1093
62	72	1077
63	72	1062
64	72	1047
65	73	1033
66	73	1019
67	73	1004
68	73	990
69	73	978
70	73	965
71	73	953
72	74	941
73	74	930
74	74	918
75	74	907
76	74	897
77	75	887
78	75	877
79	75	867
80	75	857
81	75	848
82	75	838
83	76	830
84	76	820
85	76	811
86	76	802
87	76	794
88	76	786
89	77	778
90	77	771
91	77	764
92	77	757
93	77	750
94	78	743
95	78	736
96	78	729
97	78	723
98	78	716
99	78	710
100	79	704
101	79	697
102	79	691
103	79	685
104	79	679
105	79	674
106	80	668
107	80	663
108	80	658
109	80	652
110	80	647
111	81	642
112	81	637
113	81	632
114	81	628
115	81	623
116	81	618
117	82	613
118	82	609
119	82	604
120	82	600
121	82	596
122	82	591
123	83	587
124	83	583
125	83	579
126	83	575
127	83	570
128	83	566
129	84	563
130	84	559
131	84	555
132	84	552
133	84	548
134	85	545
135	85	541
136	85	538
137	85	534
138	85	531
139	85	528
140	86	525
141	86	521
142	86	518
143	86	515
144	87	513
145	87	510
146	87	507
147	87	504
148	87	501
149	87	498
150	88	495
151	88	492
152	88	489
153	88	487
154	88	484
155	89	481
156	89	479
157	89	476
158	89	473
159	89	471
160	89	468
161	90	466
162	90	463
163	90	461
164	90	458
165	90	456
166	90	453
167	91	451
168	91	449
169	91	447
170	91	444
171	91	442
172	92	440
173	92	438
174	92	435
175	92	433
176	92	431
177	93	429
178	93	427
179	93	425
180	93	422
181	93	420
182	93	418
183	93	416
184	94	414
185	94	412
186	94	410
187	94	409
188	94	407
189	95	405
190	95	403
191	95	401
192	95	399
193	95	397
194	95	396
195	96	394
196	96	392
197	96	390
198	96	389
199	96	387
200	97	385
201	97	383
202	97	382
203	97	380
204	97	379
205	97	377
206	98	375
207	98	374
208	98	372
209	98	370
210	98	369
211	98	367
212	99	366
213	99	364
214	99	363
215	99	361
216	99	360
217	100	358
218	100	357
219	100	355
220	100	354
221	100	353
222	100	351
223	101	350
224	101	348
225	101	347
226	101	346
227	101	344
228	102	343
229	102	342
230	102	340
231	102	339
232	102	338
233	102	336
234	103	335
235	103	334
236	103	332
237	103	331
238	103	330
239	103	329
240	104	327
241	104	326
242	104	325
243	104	324
244	104	323
245	105	322
246	105	320
247	105	319
248	105	318
249	105	317
250	106	316
251	106	315
252	106	314
253	106	313
254	106	312
255	107	311
256	107	310
257	107	308
258	107	307
259	107	306
260	108	305
261	108	304
262	108	303
263	108	302
264	108	301
265	108	300
266	109	299
267	109	298
268	109	297
269	109	296
270	109	295
271	110	294
272	110	293
273	110	292
274	110	291
275	110	290
276	111	289
277	111	288
278	111	287
279	111	286
280	111	286
281	112	285
282	112	284
283	112	283
284	112	282
285	112	281
286	112	280
287	113	279
288	113	278
289	113	277
290	113	276
291	113	276
292	114	275
293	114	274
294	114	273
295	114	272
296	114	271
297	114	270
298	115	269
299	115	268
300	115	268
301	115	267
302	115	266
303	116	265
304	116	264
305	116	263
306	116	263
307	116	262
308	116	261
309	117	260
310	117	259
311	117	259
312	117	258
313	117	257
314	118	256
315	118	256
316	118	255
317	118	254
318	118	253
319	119	253
320	119	252
321	119	251
322	119	250
323	119	250
324	120	249
325	120	248
326	120	248
327	120	247
328	120	246
329	121	245
330	121	245
331	121	244
332	121	243
333	121	243
334	122	242
335	122	241
336	122	240
337	122	240
338	122	239
339	123	238
340	123	238
341	123	237
342	123	236
343	123	236
344	123	235
345	124	234
346	124	233
347	124	233
348	124	232
349	124	231
350	125	231
351	125	230
352	125	229
353	125	229
354	125	228
355	125	227
356	126	227
357	126	226
358	126	225
359	126	225
360	126	224
361	127	223
362	127	223
363	127	222
364	127	221
365	127	221
366	127	220
367	128	219
368	128	219
369	128	218
370	128	218
371	128	217
372	128	216
373	129	216
374	129	215
375	129	214
376	129	214
377	129	213
378	130	213
379	130	212
380	130	211
381	130	211
382	130	210
383	131	210
384	131	209
385	131	208
386	131	208
387	131	207
388	131	207
389	132	206
390	132	206
391	132	205
392	132	204
393	132	204
394	133	203
395	133	203
396	133	202
397	133	202
398	133	201
399	134	201
400	134	200
401	134	199
402	134	199
403	134	198
404	134	198
405	135	197
406	135	197
407	135	196
408	135	196
409	135	195
410	136	194
411	136	194
412	136	193
413	136	193
414	136	192
415	136	192
416	137	191
417	137	191
418	137	190
419	137	190
420	137	189
421	138	189
422	138	188
423	138	188
424	138	187
425	138	187
426	139	186
427	139	186
428	139	185
429	139	185
430	139	184
431	140	184
432	140	183
433	140	183
434	140	182
435	140	182
436	141	181
437	141	181
438	141	180
439	141	180
440	141	179
441	142	179
442	142	178
443	142	178
444	142	177
445	142	177
446	142	176
447	143	176
448	143	175
449	143	175
450	143	174
451	143	174
452	144	174
453	144	173
454	144	173
455	144	172
456	144	172
457	145	171
458	145	171
459	145	170
460	145	170
461	145	169
462	146	169
463	146	168
464	146	168
465	146	168
466	146	167
467	147	167
468	147	166
469	147	166
470	147	165
471	147	165
472	148	164
473	148	164
474	148	164
475	148	163
476	148	163
477	149	162
478	149	162
479	149	161
480	149	161
481	149	161
482	150	160
483	150	160
484	150	159
485	150	159
486	150	158
487	150	158
488	151	157
489	151	157
490	151	157
491	151	156
492	151	156
493	152	155
494	152	155
495	152	154
496	152	154
497	152	154
498	153	153
499	153	153
500	153	152
501	153	152
502	153	151
503	153	151
504	154	151
505	154	150
506	154	150
507	154	149
508	154	149
509	155	149
510	155	148
511	155	148
512	155	147
513	155	147
514	156	147
515	156	146
516	156	146
517	156	145
518	156	145
519	157	145
520	157	144
521	157	144
522	157	143
523	157	143
524	158	143
525	158	142
526	158	142
527	158	141
528	158	141
529	158	140
530	159	140
531	159	140
532	159	139
533	159	139
534	159	138
535	160	138
536	160	138
537	160	137
538	160	137
539	160	136
540	161	136
541	161	136
542	161	135
543	161	135
544	161	135
545	161	134
546	162	134
547	162	133
548	162	133
549	162	133
550	162	132
551	163	132
552	163	132
553	163	131
554	163	131
555	163	130
556	164	130
557	164	130
558	164	129
559	164	129
560	164	128
561	165	128
562	165	128
563	165	127
564	165	127
565	165	127
566	165	126
567	166	126
568	166	125
569	166	125
570	166	125
571	166	124
572	167	124
573	167	124
574	167	123
575	167	123
576	167	123
577	168	122
578	168	122
579	168	121
580	168	121
581	168	121
582	169	120
583	169	120
584	169	120
585	169	119
586	169	119
587	170	119
588	170	118
589	170	118
590	170	118
591	170	117
592	170	117
593	171	116
594	171	116
595	171	116
596	171	115
597	171	115
598	172	115
599	172	114
600	172	114
601	172	114
602	173	113
603	173	113
604	173	113
605	173	112
606	173	112
607	173	112
608	174	111
609	174	111
610	174	111
611	174	110
612	174	110
613	175	110
614	175	109
615	175	109
616	175	109
617	176	108
618	176	108
619	176	108
620	176	107
621	176	107
622	177	107
623	177	106
624	177	106
625	177	106
626	177	105
627	178	105
628	178	105
629	178	104
630	178	104
631	178	104
632	179	103
633	179	103
634	179	103
635	179	102
636	179	102
637	179	102
638	180	101
639	180	101
640	180	101
641	180	100
642	180	100
643	181	100
644	181	99
645	181	99
646	181	99
647	181	98
648	182	98
649	182	98
650	182	97
651	182	97
652	182	97
653	183	96
654	183	96
655	183	96
656	183	96
