iter	Passed	Remaining
0	0	438
1	0	336
2	0	297
3	1	274
4	1	257
5	1	249
6	1	242
7	1	237
8	2	233
9	2	230
10	2	227
11	2	225
12	2	221
13	3	220
14	3	218
15	3	215
16	4	233
17	4	232
18	4	229
19	4	226
20	4	227
21	5	227
22	5	225
23	5	223
24	5	222
25	5	221
26	6	219
27	6	218
28	6	216
29	6	217
30	6	215
31	7	215
32	7	214
33	7	213
34	7	211
35	7	210
36	8	209
37	8	209
38	8	208
39	8	207
40	8	206
41	9	205
42	9	204
43	9	204
44	9	203
45	9	206
46	10	208
47	10	208
48	10	207
49	10	206
50	11	206
51	11	205
52	11	205
53	11	205
54	11	204
55	12	204
56	12	204
57	12	203
58	12	203
59	12	202
60	13	202
61	13	202
62	13	201
63	13	201
64	13	200
65	14	200
66	14	199
67	14	199
68	14	199
69	14	198
70	15	197
71	15	197
72	15	197
73	15	197
74	15	196
75	16	196
76	16	195
77	16	195
78	16	195
79	16	194
80	17	194
81	17	193
82	17	191
83	17	191
84	17	191
85	17	191
86	18	191
87	18	191
88	18	191
89	18	191
90	19	190
91	19	190
92	19	190
93	19	190
94	19	190
95	20	189
96	20	189
97	20	189
98	20	188
99	21	190
100	21	189
101	21	189
102	21	189
103	21	188
104	22	188
105	22	188
106	22	187
107	22	188
108	23	188
109	23	187
110	23	187
111	23	186
112	23	186
113	23	186
114	24	185
115	24	185
116	24	185
117	24	184
118	24	184
119	25	184
120	25	184
121	25	183
122	25	183
123	25	182
124	26	182
125	26	182
126	26	181
127	26	181
128	26	181
129	27	180
130	27	180
131	27	180
132	27	179
133	27	179
134	27	179
135	28	178
136	28	178
137	28	178
138	28	177
139	28	177
140	29	177
141	29	176
142	29	176
143	29	175
144	29	175
145	29	175
146	30	175
147	30	174
148	30	174
149	30	174
150	31	174
151	31	174
152	31	174
153	31	173
154	31	173
155	31	172
156	32	172
157	32	172
158	32	172
159	32	172
160	32	171
161	33	171
162	33	170
163	33	170
164	33	170
165	33	169
166	34	169
167	34	169
168	34	169
169	34	168
170	34	168
171	34	168
172	35	168
173	35	167
174	35	167
175	35	167
176	35	167
177	36	166
178	36	166
179	36	166
180	36	166
181	36	165
182	37	165
183	37	165
184	37	164
185	37	164
186	37	164
187	37	163
188	38	163
189	38	163
190	38	162
